"Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type"
"201301BS70198,1,1,1,1,7,2,0,0,0,0,0,5,1"
"201301BS70199,1,1,1,1,9,3,0,0,0,0,0,8,1"
"201301BS70200,1,1,2,2,8,3,0,0,2,0,0,8,1"
"201301BS70202,1,1,1,2,6,3,0,0,0,0,0,9,1"
"201301BS70203,1,1,3,1,8,3,4,1,0,0,2,0,1"
"201301BS70204,2,1,1,1,7,3,0,0,0,0,0,5,1"
"201301BS70205,2,1,1,2,7,3,0,0,0,0,0,1,1"
"201301BS70206,1,1,3,1,11,3,5,1,0,0,2,0,1"
"201301BS70207,2,1,2,2,6,3,0,0,1,0,0,9,1"
"201301BS70207,3,2,1,1,7,3,0,0,0,0,0,9,1"
"201301BS70208,2,1,1,1,9,3,0,0,0,0,0,1,1"
"201301BS70209,1,1,3,1,7,3,1,1,0,0,2,0,1"
"201301BS70210,1,1,2,1,4,3,0,0,0,0,0,3,1"
"201301BS70211,1,1,3,2,6,3,5,1,0,0,2,0,1"
"201301BS70211,1,2,3,1,7,3,5,1,0,0,2,0,1"
"201301BS70212,1,1,1,1,6,3,0,0,0,0,0,1,1"
"201301BS70213,2,1,1,1,5,3,0,0,0,0,0,1,1"
"201301BS70214,1,1,1,2,5,3,0,0,0,0,0,5,-1"
"201301BS70215,1,1,1,1,5,3,0,0,0,0,0,5,1"
"201301BS70216,2,1,1,2,6,3,0,0,0,0,0,1,1"
"201301BS70217,1,1,3,1,5,3,4,1,0,0,2,0,1"
"201301BS70218,1,1,1,1,8,3,0,0,0,0,0,8,1"
"201301BS70218,1,2,2,2,-1,3,0,0,2,0,0,8,-1"
"201301BS70220,1,1,1,1,7,3,0,0,0,0,0,19,1"
"201301BS70221,2,1,1,1,5,3,0,0,0,0,0,1,1"
"201301BS70222,2,1,1,1,8,3,0,0,0,0,0,9,1"
"201301BS70223,2,1,1,1,8,3,0,0,0,0,0,9,1"
"201301BS70223,2,2,2,2,7,3,0,0,1,0,0,9,1"
"201301BS70224,2,1,1,1,6,3,0,0,0,0,0,4,1"
"201301BS70225,1,1,1,2,7,3,0,0,0,0,0,1,1"
"201301BS70226,1,1,3,2,11,3,6,9,0,0,2,0,-1"
