AADFYear,CP,Road,RCat,S Ref Latitude,S Ref Longitude,bicycle_aadf,motorbike_aadf,car_aadf,bus_aadf,light_goods_vehicle_aadf,heavy_goods_vehicle_aadf
2014,16866,A315,PA,51.49383606,-0.215205056,2636,1064,12276,1302,1964,320
2014,16867,A315,PA,51.49250824,-0.258472873,777,609,11275,1138,1841,445
2014,16870,A316,PA,51.45664414,-0.327489608,322,1191,37166,308,6200,841
2014,16871,A321,PA,51.46665424,-0.860014872,74,62,6483,30,1207,154
2014,16874,A323,PA,51.24250866,-0.75073879,114,121,14287,386,2953,293
2014,16875,A325,PA,51.26958442,-0.76003914,52,264,21466,102,2701,554
2014,16877,A327,PA,51.38792161,-0.904439971,18,62,7777,19,1482,293
2014,16878,A327,PA,51.45056406,-0.9704360320000001,196,136,15501,323,2605,347
2014,16879,A329,PA,51.41050967,-0.67139629,46,77,13832,24,1636,234
2014,16882,A329,PA,51.51080242,-1.136811464,9,105,6921,48,1730,159
2014,16883,A329,PA,51.74393937,-0.9991235359999999,18,107,6453,22,1754,478
2014,16884,A330,PA,51.45671122,-0.734825545,25,57,4585,3,689,133
2014,16885,A330,PA,51.38977142,-0.650725847,15,9,4412,5,616,72
2014,16886,A332,PA,51.421533399999994,-0.676110513,26,136,12843,84,1638,228
2014,16890,A334,PA,50.91502192,-1.26025486,72,221,14106,83,2448,585
2014,16891,A3024,PA,50.91570776,-1.361243055,110,474,20759,101,4128,474
2014,16892,A335,PA,50.941331299999995,-1.3769754619999999,115,440,27491,205,4739,915
2014,16895,A338,PA,51.69695263,-1.3503088859999999,6,50,4876,52,671,166
2014,16896,A338,PA,51.35898487,-1.57052977,0,24,2390,6,633,84
2014,16897,A338,PA,51.24869528,-1.665546059,4,88,5646,44,1655,454
2014,16899,A338,PA,50.76546051,-1.809660359,1,309,33925,201,5433,1202
2014,16902,A3010,PA,51.26691331,-1.0854862809999999,42,151,17795,266,2053,252
2014,16903,A340,PA,51.38098351,-1.152187205,12,47,5934,30,1670,708
2014,16904,A347,PA,50.76666368,-1.883631381,184,389,23234,100,3408,421
2014,16905,A342,PA,51.293625,-1.808778504,10,38,3436,30,657,199
2014,16906,A342,PA,51.38224414,-2.0373106830000003,12,106,5497,58,1407,209
2014,16908,A343,PA,51.13964117,-1.586860579,10,86,6585,37,1389,392
2014,16910,A4311,PA,51.59417513,-1.777133237,102,248,14265,128,2725,408
2014,16911,A4259,PA,51.54471324,-1.74182863,132,254,23622,309,2722,524
2014,16912,A345,PA,51.35506955,-1.7802326469999998,1,13,3872,31,954,135
2014,16913,A345,PA,51.24899786,-1.797644574,1,57,3880,36,1046,128
2014,16916,A349,PA,50.76124328,-1.979857591,112,215,17726,51,3230,699
2014,16919,A350,PA,51.15911816,-2.177409596,1,73,4980,34,1347,626
2014,16924,A352,PA,50.73432293,-2.45721475,32,65,2264,75,589,101
2014,16928,A315,PA,51.46263344,-0.38917218600000003,177,300,13078,545,1882,435
2014,16934,A357,PA,51.01099409,-2.4289995280000003,4,55,3891,70,686,387
2014,16935,A358,PA,51.15215679,-3.288185038,4,110,5834,129,1118,207
2014,16937,A358,PA,50.88560668,-2.951565905,16,119,8601,86,1888,564
2014,16939,A360,PA,51.24917106,-1.98275708,0,31,4151,45,1019,197
2014,16940,A360,PA,51.09348802,-1.83002362,3,50,5321,32,1032,183
2014,16942,A361,PA,51.96733049,-1.4803204490000001,4,59,4537,22,1046,277
2014,16943,A361,PA,51.64533782,-1.7083070809999998,2,74,6741,50,1447,306
2014,16945,A361,PA,51.35166359,-2.058825048,13,119,10869,54,2309,560
2014,16946,A361,PA,51.293881,-2.241892673,20,113,9504,55,2053,881
2014,16947,A361,PA,51.18945389,-2.545129217,45,67,6505,115,1079,95
