Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
201401BS70789,1,19,0,17,0,8,0,0,0,0,3,1,6,1,50,8,2198,2,5,2,1
201401BS70790,1,8,0,4,0,1,0,0,0,0,2,1,6,1,34,6,-1,-1,-1,1,1
201401BS70790,2,9,0,18,0,1,0,0,0,0,1,1,6,1,-1,-1,1796,1,10,2,1
201401BS70792,1,9,0,2,0,0,0,0,0,0,3,1,6,1,28,6,1995,2,-1,2,1
201401BS70792,2,1,0,18,0,0,0,8,0,0,1,1,6,1,29,6,-1,-1,-1,2,1
201401BS70794,1,11,0,17,0,0,0,0,0,0,1,1,1,1,47,8,4500,2,-1,4,1
201401BS70795,1,9,0,18,0,2,5,4,0,0,1,1,6,2,51,8,973,1,12,1,1
201401BS70795,2,9,0,2,0,2,0,0,0,0,2,1,6,3,-1,-1,-1,-1,-1,-1,-1
201401BS70795,3,9,0,2,0,2,0,0,0,0,2,1,6,3,-1,-1,-1,-1,-1,-1,-1
201401BS70796,1,5,0,16,0,8,0,0,0,0,3,1,6,1,25,5,-1,-1,-1,3,1
201401BS70796,2,9,0,9,0,8,0,0,0,0,4,1,6,1,-1,-1,4398,1,17,-1,-1
201401BS70798,1,1,0,18,0,1,0,0,0,0,1,1,6,2,29,6,-1,-1,-1,6,1
201401BS70798,2,19,0,2,0,8,0,0,0,0,3,1,1,1,-1,-1,1560,2,3,2,1
201401BS70799,1,9,0,10,0,8,0,0,0,0,2,1,6,1,34,6,1242,1,5,3,1
201401BS70799,2,9,0,18,0,8,0,0,0,0,1,1,6,2,65,9,1595,1,8,2,1
201401BS70801,1,1,0,18,0,2,0,8,0,0,1,1,6,2,40,7,-1,-1,-1,8,1
201401BS70801,2,9,0,2,0,8,0,0,0,0,3,1,6,1,48,8,1796,1,9,3,1
201401BS70802,1,9,0,18,0,0,0,0,0,0,4,1,6,1,38,7,1600,1,10,4,1
201401BS70802,2,9,0,12,0,0,0,0,0,0,3,1,6,1,38,7,1797,8,3,-1,-1
201401BS70804,1,9,0,7,0,8,0,0,0,0,0,1,6,1,-1,-1,1997,2,-1,-1,-1
201401BS70804,2,1,0,18,0,8,0,0,0,0,4,1,6,1,54,8,-1,-1,-1,6,1
201401BS70805,1,8,0,18,0,8,0,0,0,0,4,1,6,1,61,9,2664,2,14,7,1
201401BS70806,1,9,0,9,0,8,0,0,0,0,3,1,6,1,47,8,1598,1,5,2,1
201401BS70806,2,3,0,7,0,8,0,0,0,0,4,1,6,1,50,8,124,1,4,1,1
201401BS70807,1,19,0,1,0,0,0,0,0,0,2,1,6,1,51,8,2198,2,6,2,1
201401BS70808,1,90,0,18,0,0,0,0,0,0,3,1,6,1,-1,-1,-1,-1,-1,-1,-1
201401BS70809,1,4,0,18,0,8,0,0,0,0,1,1,6,1,-1,-1,125,1,5,3,1
201401BS70809,2,19,0,9,0,8,0,0,0,0,1,1,1,1,35,6,-1,-1,-1,-1,-1
201401BS70810,1,8,0,18,0,8,0,0,0,0,1,1,1,1,48,8,2499,2,1,2,1
201401BS70810,2,19,0,18,0,8,0,0,0,0,3,1,1,1,-1,-1,-1,-1,-1,-1,-1
201401BS70811,1,9,0,9,0,8,0,0,0,0,1,1,6,1,59,9,-1,-1,-1,3,1
201401BS70811,2,2,0,18,0,8,0,0,0,0,1,1,1,1,24,5,50,1,1,3,1
201401BS70812,1,9,0,16,0,0,0,0,0,0,2,1,6,2,22,5,2993,2,2,4,1
201401BS70812,2,9,0,12,0,0,0,0,0,0,3,1,6,1,55,8,1685,2,-1,-1,-1
201401BS70814,1,9,0,18,0,8,0,0,0,0,3,1,6,2,28,6,1200,1,11,2,1
201401BS70814,2,9,0,9,0,8,0,0,0,0,1,1,6,1,29,6,1968,2,4,3,1
201401BS70815,1,19,0,6,0,0,0,0,0,0,3,1,1,1,49,8,1998,2,11,9,1
201401BS70815,2,3,0,18,0,0,0,0,0,0,1,1,1,1,43,7,124,1,-1,4,1
201401BS70817,1,3,0,12,0,8,0,0,0,0,1,1,6,1,38,7,125,1,4,7,1
201401BS70817,2,9,0,9,0,8,0,0,0,0,1,1,6,1,51,8,-1,-1,-1,7,1
201401BS70818,1,1,0,18,0,8,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1,-1
201401BS70819,1,5,0,15,0,2,0,0,0,0,3,1,6,1,38,7,600,1,2,7,1
201401BS70819,2,9,0,11,0,2,0,0,0,0,4,1,6,1,73,10,3189,1,9,8,1
201401BS70819,3,9,0,2,0,2,0,0,0,0,4,1,6,1,50,8,2922,1,9,8,1
201401BS70820,1,9,0,2,0,8,0,0,0,0,2,1,6,2,59,9,1339,8,5,3,1
201401BS70820,2,9,0,4,0,8,0,4,0,0,1,1,6,1,62,9,1895,1,12,-1,3
201401BS70822,1,9,0,9,0,8,0,0,0,0,3,1,6,1,26,6,1896,2,6,-1,-1
201401BS70822,2,3,0,18,0,8,0,0,0,0,1,1,6,1,31,6,125,1,4,3,1
201401BS70823,1,8,0,7,0,8,0,0,0,0,1,1,1,1,39,7,-1,-1,-1,3,1
201401BS70823,2,1,0,18,0,8,0,0,0,0,4,1,6,1,16,4,-1,-1,-1,5,1
201401BS70824,1,9,0,9,0,8,0,0,0,0,1,1,6,1,25,5,1968,2,4,9,1
201401BS70824,2,8,0,9,0,8,0,0,0,0,1,1,6,1,59,9,1997,2,-1,9,1
201401BS70825,1,8,0,2,0,0,0,0,0,0,4,1,1,3,-1,-1,-1,-1,-1,-1,-1
201401BS70826,1,9,0,18,0,8,0,0,0,0,1,1,6,2,29,6,1598,1,7,2,1
201401BS70826,2,9,0,9,0,8,0,0,0,0,1,1,6,1,41,7,1598,2,-1,2,1
201401BS70827,1,9,0,16,0,8,0,0,0,0,1,1,6,1,67,10,2494,1,11,9,3
201401BS70828,1,9,0,9,0,8,0,0,0,0,1,1,6,1,34,6,3628,2,4,7,1
201401BS70828,2,8,0,7,0,8,0,0,0,0,1,1,1,1,50,8,2664,2,14,3,1
201401BS70829,1,9,0,18,0,8,0,0,0,0,4,1,6,1,33,6,1240,1,10,2,1
201401BS70829,2,9,0,3,0,8,0,0,0,0,3,1,6,2,28,6,999,1,-1,3,1
201401BS70830,1,9,0,9,0,8,0,0,0,0,1,1,6,2,64,9,1796,2,1,3,1
201401BS70832,1,9,0,9,0,8,0,0,0,0,1,1,6,1,29,6,1968,2,5,9,1
201401BS70832,2,8,0,18,0,8,0,0,0,0,3,1,6,1,30,6,1497,8,5,6,1
201401BS70833,1,9,0,14,0,8,0,0,0,0,4,1,6,1,40,7,1596,1,12,2,1
201401BS70833,2,1,0,14,0,2,0,0,0,0,3,1,6,2,37,7,-1,-1,-1,-1,-1
201401BS70834,1,8,0,6,0,8,0,0,0,0,1,1,1,1,39,7,1560,2,3,5,1
201401BS70834,2,5,0,18,0,8,0,0,0,0,1,1,6,1,43,7,600,1,1,3,1
201401BS70835,1,3,0,18,0,8,0,0,0,0,1,1,6,1,40,7,125,1,-1,3,1
201401BS70835,2,9,0,9,0,8,0,0,0,0,4,1,6,2,-1,-1,3311,8,6,-1,-1
201401BS70838,1,9,0,9,0,8,0,0,0,0,1,1,6,1,41,7,1598,1,11,4,1
201401BS70838,2,1,0,18,0,8,0,0,0,0,1,1,6,1,22,5,-1,-1,-1,3,1
201401BS70840,1,11,0,16,0,0,0,10,1,10,1,1,1,1,42,7,6700,2,2,4,1
201401BS70841,1,8,0,18,0,8,0,0,0,0,1,1,1,1,37,7,2497,2,2,7,1
201401BS70841,2,3,0,12,0,8,0,0,0,0,1,1,6,1,25,5,124,1,6,2,1
201401BS70842,1,9,0,9,0,8,0,0,0,0,1,1,6,1,30,6,1994,1,11,8,1
201401BS70842,2,5,0,15,0,8,0,0,0,0,1,1,6,1,40,7,599,1,4,2,1
201401BS70843,1,9,0,18,0,8,0,0,0,0,4,1,6,1,63,9,1596,1,11,2,1
