Acc_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
201301BS70068,2,5,0,13,0,8,0,0,0,0,1,1,6,1,6,-1,-1,-1,7,1
201301BS70070,1,9,0,18,0,8,0,0,0,0,4,1,6,2,5,-1,-1,-1,2,1
201301BS70070,2,3,0,18,0,8,0,0,0,0,1,1,1,1,5,125,1,2,3,1
201301BS70071,1,9,0,18,0,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70073,1,1,0,18,0,8,0,0,0,0,4,1,6,1,8,-1,-1,-1,6,1
201301BS70073,2,9,0,5,0,8,0,0,0,0,1,1,6,3,-1,1997,2,12,-1,-1
201301BS70074,1,9,0,1,0,0,0,0,0,0,2,1,1,1,9,1997,2,2,3,1
201301BS70075,1,9,0,18,0,2,0,0,0,0,3,1,2,1,7,2993,2,1,1,1
201301BS70076,1,9,0,18,0,1,0,0,0,0,4,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70077,1,9,0,18,0,8,0,0,0,0,4,1,1,1,10,1396,1,17,2,1
201301BS70078,1,19,0,1,0,2,0,0,0,0,2,1,6,1,8,2143,2,1,8,1
201301BS70078,2,9,0,18,0,2,0,0,0,0,1,1,6,1,8,6749,1,2,8,3
201301BS70079,1,9,0,18,0,1,0,0,0,0,4,1,6,1,-1,1968,2,4,5,1
201301BS70080,1,3,0,15,0,8,0,0,0,0,4,1,1,1,6,125,1,2,7,1
201301BS70081,1,9,0,18,0,0,0,0,0,0,3,1,2,1,6,1149,1,8,3,1
201301BS70081,2,20,0,11,0,0,0,0,0,0,4,1,1,1,-1,-1,-1,-1,7,1
201301BS70082,1,9,0,4,0,1,0,0,0,0,2,1,6,2,8,-1,-1,-1,2,1
201301BS70082,2,90,0,18,0,1,0,0,0,0,1,1,6,2,-1,-1,-1,-1,-1,-1
201301BS70083,1,8,0,10,0,8,0,0,0,0,4,1,1,1,8,2664,2,12,1,1
201301BS70083,2,3,0,18,0,8,0,0,0,0,1,1,6,1,5,125,1,9,6,1
201301BS70084,1,9,0,15,0,2,0,0,0,0,4,1,6,1,7,1968,2,-1,-1,-1
201301BS70084,2,11,0,5,0,2,0,0,0,0,3,1,1,1,-1,7300,2,8,5,1
201301BS70086,1,8,0,9,0,8,0,0,0,0,4,1,6,1,8,1974,2,14,6,1
201301BS70086,2,1,0,18,0,8,0,0,0,0,1,1,6,2,7,-1,-1,-1,4,1
201301BS70087,1,9,0,4,0,1,0,0,0,0,2,1,6,2,8,2362,7,4,7,1
201301BS70087,2,1,0,18,0,1,0,0,0,0,1,1,6,1,7,-1,-1,-1,10,1
201301BS70088,1,3,0,18,0,0,0,0,0,0,1,1,6,1,7,124,1,13,8,1
201301BS70089,1,3,0,18,0,8,0,0,0,0,1,1,6,1,5,124,1,2,5,1
201301BS70089,2,9,0,9,0,8,0,0,0,0,1,1,6,2,7,1896,2,10,3,1
201301BS70090,1,9,0,16,0,8,0,0,0,0,1,1,6,1,7,-1,-1,-1,10,1
201301BS70092,1,1,0,18,0,0,0,0,0,0,1,1,6,1,5,-1,-1,-1,4,1
201301BS70093,1,5,0,11,0,1,0,0,0,0,2,1,6,1,6,599,1,6,2,1
201301BS70093,2,9,0,18,0,1,0,0,0,0,1,1,1,2,8,-1,-1,-1,2,1
201301BS70094,1,3,0,18,0,8,0,0,0,0,1,1,6,1,7,124,1,7,2,1
201301BS70094,2,9,0,9,0,8,0,0,0,0,3,1,6,2,7,1397,1,11,2,1
201301BS70095,1,1,0,18,0,8,0,0,0,0,1,1,1,1,5,-1,-1,-1,3,1
201301BS70095,2,9,0,18,0,8,0,0,0,0,3,1,6,1,6,1910,2,7,5,1
201301BS70096,1,1,0,18,0,2,0,0,0,0,3,1,6,2,8,-1,-1,-1,4,1
201301BS70096,2,19,0,13,0,2,0,0,0,0,1,1,1,1,8,1870,2,8,-1,-1
201301BS70099,1,9,0,9,0,8,0,0,0,0,3,1,6,1,7,1360,1,10,-1,-1
201301BS70099,2,3,0,14,0,8,0,0,0,0,1,1,6,1,6,-1,-1,-1,3,1
201301BS70100,1,9,0,18,0,8,0,0,0,0,2,1,2,1,6,1910,2,5,3,1
201301BS70100,2,9,0,18,0,8,0,0,0,0,2,1,2,2,8,1198,1,10,7,1
201301BS70100,3,9,0,5,0,8,0,0,0,0,1,1,2,2,7,1498,1,6,4,1
201301BS70100,4,9,0,7,0,8,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70101,1,3,0,4,0,8,1,0,0,0,2,1,6,1,6,124,1,6,6,1
201301BS70101,2,9,0,6,0,8,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70102,1,11,0,4,0,0,0,0,0,0,0,1,1,1,6,6700,2,6,3,1
201301BS70103,1,3,0,18,0,1,0,0,0,0,1,1,2,1,6,124,1,7,2,1
201301BS70104,1,2,0,18,0,8,0,0,0,0,1,1,6,1,7,124,1,7,4,1
201301BS70104,2,8,0,6,0,8,0,0,0,0,4,1,1,1,7,-1,-1,-1,1,1
