"""date"",""geography"",""geography code"",""Rural Urban"",""Variable: All usual residents; measures: Value"",""Variable: Males; measures: Value"",""Variable: Females; measures: Value"",""Variable: Lives in a household; measures: Value"",""Variable: Lives in a communal establishment; measures: Value"",""Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value"",""Variable: Area (Hectares); measures: Value"",""Variable: Density (number of persons per hectare); measures: Value"""
"""2011"",""County Durham 007D"",""E01020611"",""Total"",1346,635,711,1346,0,16,318.38,4.2"
"""2011"",""County Durham 007E"",""E01020612"",""Total"",1626,798,828,1626,0,15,205.59,7.9"
"""2011"",""County Durham 011A"",""E01020592"",""Total"",1514,684,830,1514,0,2,29.45,51.4"
"""2011"",""County Durham 011B"",""E01020593"",""Total"",1227,594,633,1227,0,12,29.78,41.2"
"""2011"",""County Durham 011C"",""E01020599"",""Total"",1701,845,856,1685,16,12,23.95,71.0"
"""2011"",""County Durham 011D"",""E01020601"",""Total"",1550,745,805,1550,0,20,68.41,22.7"
"""2011"",""County Durham 011E"",""E01020602"",""Total"",1829,833,996,1744,85,13,49.04,37.3"
"""2011"",""County Durham 011F"",""E01020618"",""Total"",1558,775,783,1558,0,8,251.25,6.2"
"""2011"",""County Durham 013A"",""E01020594"",""Total"",1641,819,822,1625,16,10,22.94,71.5"
"""2011"",""County Durham 013B"",""E01020595"",""Total"",1728,809,919,1681,47,29,214.01,8.1"
"""2011"",""County Durham 013C"",""E01020600"",""Total"",1515,753,762,1515,0,31,45.46,33.3"
"""2011"",""County Durham 013D"",""E01020603"",""Total"",1843,917,926,1843,0,29,34.62,53.2"
"""2011"",""County Durham 013E"",""E01020605"",""Total"",1757,847,910,1757,0,27,38.40,45.8"
"""2011"",""County Durham 015A"",""E01020590"",""Total"",1369,657,712,1335,34,13,370.07,3.7"
"""2011"",""County Durham 015B"",""E01020591"",""Total"",1481,676,805,1437,44,7,427.35,3.5"
"""2011"",""County Durham 015C"",""E01020608"",""Total"",1786,836,950,1786,0,23,382.33,4.7"
"""2011"",""County Durham 015D"",""E01020609"",""Total"",1403,667,736,1403,0,12,91.77,15.3"
"""2011"",""County Durham 015E"",""E01020610"",""Total"",1498,728,770,1498,0,18,345.73,4.3"
