"Accident_Index,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,1st_Road_Class,Road_Type,Speed_limit,Junction_Detail,2nd_Road_Class,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Hour,Two_Hour_Groupings,Time_of_Day,Was_Daylight,Was_Bad_Weather,Was_Road_Dry,log_Number_of_Casualties,log_Number_of_Vehicles,LSOA,population_per_hectare,bicycle_aadf,motorbike_aadf,car_aadf,bus_aadf,light_goods_vehicle_aadf,heavy_goods_vehicle_aadf,Road,RCat"
"201301BS70044,-0.187303,51.492184,Slight,2,1,2013-01-21,Monday,C,Roundabout,30.0,Mini-roundabout,Unclassified,Darkness - lights lit,Snowing no high winds,Snow,Urban,18,6pm-8pm,Rush hour,No,Yes,No,0.0,0.6931471805599453,E01002834,229.9,1077.4,840.4,11034.8,475.0,2311.2,330.8,A3218,PA"
"201301BS70046,-0.185618,51.480197,Slight,2,1,2013-02-05,Tuesday,A,Single carriageway,30.0,T or staggered junction,C,Daylight,Fine no high winds,Dry,Urban,16,4pm-6pm,Rush hour,Yes,No,Yes,0.0,0.6931471805599453,E01002843,183.1,4587.0,2688.4,22080.2,1254.4,6067.4,1315.4,A308,PA"
"201301BS70047,-0.203655,51.508622,Slight,1,1,2013-02-04,Monday,Unclassified,Single carriageway,30.0,Crossroads,B,Darkness - lights lit,Fine no high winds,Dry,Urban,17,4pm-6pm,Rush hour,No,No,Yes,0.0,0.0,E01002871,128.9,186.4,186.2,3300.4,31.2,605.0,88.4,U,MCU"
"201301BS70048,-0.216245,51.518347,Slight,2,1,2013-02-08,Friday,Unclassified,Single carriageway,30.0,Crossroads,B,Daylight,Other,Frost or ice,Urban,7,6am-8am,Morning,Yes,Yes,No,0.0,0.6931471805599453,E01002909,216.9,2.6,3898.2,63274.8,763.4,15253.6,3185.8,A40,PA"
"201301BS70049,-0.177055,51.48546,Slight,1,1,2013-01-23,Wednesday,C,Single carriageway,30.0,T or staggered junction,Unclassified,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,20,8pm-10pm,Evening,No,Yes,No,0.0,0.0,E01002911,136.7,1995.4,1195.6,10082.6,1217.6,3186.6,340.2,A3220,PA"
"201301BS70050,-0.151785,51.487043,Slight,1,1,2013-02-03,Sunday,A,Single carriageway,30.0,T or staggered junction,B,Darkness - lights lit,Fine no high winds,Dry,Urban,20,8pm-10pm,Evening,No,No,Yes,0.0,0.0,E01002901,38.7,3111.6,2007.2,16917.4,1377.0,5706.8,1686.4,A3216,PA"
"201301BS70051,-0.198414,51.49901,Slight,2,1,2013-02-05,Tuesday,A,Single carriageway,30.0,T or staggered junction,B,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,19,6pm-8pm,Evening,No,Yes,No,0.0,0.6931471805599453,E01002817,101.3,2990.8,903.4,16127.0,1472.8,2282.0,722.4,A315,PA"
"201301BS70054,-0.197009,51.490805,Slight,2,1,2013-02-09,Saturday,A,One way street,30.0,Not at junction or within 20 meters,Not at junction or within 20 meters,Daylight,Raining no high winds,Wet or damp,Urban,13,12pm-2pm,Office hours,Yes,Yes,No,0.0,0.6931471805599453,E01002847,221.8,643.4,1155.4,20122.0,726.2,5736.6,991.4,A3220,PA"
"201301BS70055,-0.183013,51.494995,Slight,1,1,2013-02-07,Thursday,A,Single carriageway,30.0,Crossroads,B,Darkness - lights unlit,Fine no high winds,Dry,Urban,18,6pm-8pm,Rush hour,No,No,Yes,0.0,0.0,E01002887,182.2,510.0,1924.4,44383.0,979.0,6430.8,1334.8,A4,PA"
"201301BS70056,-0.183283,51.480971,Slight,2,1,2013-02-11,Monday,A,Single carriageway,30.0,Crossroads,A,Daylight,Snowing no high winds,Wet or damp,Urban,15,2pm-4pm,Rush hour,Yes,Yes,No,0.0,0.6931471805599453,E01002843,183.1,1330.2,943.8,12979.4,1081.2,2550.8,636.2,A3217,PA"
"201301BS70057,-0.196737,51.494038,Slight,2,1,2013-02-11,Monday,A,Dual carriageway,40.0,Not at junction or within 20 meters,Not at junction or within 20 meters,Daylight,Snowing no high winds,Wet or damp,Urban,9,8am-10am,Morning,Yes,Yes,No,0.0,0.6931471805599453,E01002851,272.3,290.6,2626.0,56398.4,1148.2,9171.6,1938.6,A4,PA"
"201301BS70058,-0.195557,51.487455,Serious,1,1,2013-02-06,Wednesday,A,Single carriageway,30.0,Not at junction or within 20 meters,Not at junction or within 20 meters,Darkness - lights lit,Fine + high winds,Wet or damp,Urban,7,6am-8am,Morning,No,Yes,No,0.0,0.0,E01002894,137.9,1786.0,925.6,8192.8,600.8,2012.0,237.0,A3218,PA"
"201301BS70059,-0.193005,51.500995,Serious,1,1,2013-02-08,Friday,A,Single carriageway,30.0,Not at junction or within 20 meters,Not at junction or within 20 meters,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,23,10pm-12am,Night,No,Yes,No,0.0,0.0,E01002889,106.9,354.0,35.6,380.0,1.0,109.8,12.0,U,MCU"
"201301BS70060,-0.209235,51.520668,Slight,1,1,2013-02-08,Friday,Unclassified,Single carriageway,30.0,Not at junction or within 20 meters,Not at junction or within 20 meters,Daylight,Fine no high winds,Dry,Urban,10,10am-12pm,Office hours,Yes,No,Yes,0.0,0.0,E01002855,163.2,2.6,3898.2,63274.8,763.4,15253.6,3185.8,A40,PA"
"201301BS70061,-0.154971,51.493748,Slight,2,1,2013-01-07,Monday,A,Single carriageway,30.0,Crossroads,A,Darkness - lights lit,Fine no high winds,Dry,Urban,17,4pm-6pm,Rush hour,No,No,Yes,0.0,0.6931471805599453,E01004687,90.1,1805.0,1521.8,15143.4,270.2,1825.8,274.4,A3217,PA"
"201301BS70063,-0.195561,51.494649,Slight,1,1,2013-02-12,Tuesday,A,Single carriageway,30.0,Crossroads,A,Darkness - lights lit,Fine no high winds,Dry,Urban,19,6pm-8pm,Evening,No,No,Yes,0.0,0.0,E01002815,222.5,575.4,848.4,12193.6,694.2,3750.6,765.0,A3220,PA"
"201301BS70064,-0.213996,51.524247,Slight,1,1,2013-02-07,Thursday,B,Single carriageway,30.0,Not at junction or within 20 meters,Not at junction or within 20 meters,Daylight,Fine no high winds,Dry,Urban,13,12pm-2pm,Office hours,Yes,No,Yes,0.0,0.0,E01002905,93.1,856.8,994.2,13424.2,1117.0,2609.6,801.0,A404,PA"
"201301BS70065,-0.183279,51.481061,Slight,2,1,2013-01-12,Saturday,A,Single carriageway,30.0,Crossroads,A,Daylight,Fine no high winds,Wet or damp,Urban,13,12pm-2pm,Office hours,Yes,No,No,0.0,0.6931471805599453,E01002843,183.1,1330.2,943.8,12979.4,1081.2,2550.8,636.2,A3217,PA"
"201301BS70066,-0.17896800000000002,51.495292,Slight,2,1,2013-01-16,Wednesday,A,Single carriageway,30.0,Crossroads,C,Darkness - lights lit,Fine + high winds,Dry,Urban,17,4pm-6pm,Rush hour,No,Yes,Yes,0.0,0.6931471805599453,E01002820,74.1,15.4,23.4,425.4,2.8,192.6,33.4,U,MCU"
"201301BS70067,-0.16894,51.49387700000001,Slight,1,2,2013-01-22,Tuesday,A,Single carriageway,30.0,Not at junction or within 20 meters,Not at junction or within 20 meters,Darkness - lights lit,Snowing no high winds,Snow,Urban,18,6pm-8pm,Rush hour,No,Yes,No,0.6931471805599453,0.0,E01002821,74.6,559.6,1516.0,28505.6,1396.2,3868.6,1003.0,A4,PA"
"201301BS70068,-0.184298,51.480807,Slight,2,1,2013-01-23,Wednesday,A,Single carriageway,30.0,T or staggered junction,Unclassified,Daylight,Fine no high winds,Dry,Urban,8,8am-10am,Morning,Yes,No,Yes,0.0,0.6931471805599453,E01002913,173.6,4587.0,2688.4,22080.2,1254.4,6067.4,1315.4,A308,PA"
"201301BS70070,-0.167486,51.483423,Slight,2,1,2013-02-06,Wednesday,A,Single carriageway,30.0,Crossroads,A,Darkness - lights lit,Fine no high winds,Dry,Urban,17,4pm-6pm,Rush hour,No,No,Yes,0.0,0.6931471805599453,E01002844,110.8,658.2,698.0,8646.0,18.6,1717.8,63.2,A3031,PA"
"201301BS70071,-0.17139100000000002,51.483034,Slight,1,1,2013-02-15,Friday,C,Single carriageway,30.0,T or staggered junction,Unclassified,Daylight,Fine no high winds,Dry,Urban,14,2pm-4pm,Office hours,Yes,No,Yes,0.0,0.0,E01002844,110.8,4529.2,3157.6,25559.4,814.0,6627.0,1880.2,A3212,PA"
"201301BS70073,-0.21752,51.518905,Slight,2,1,2013-02-10,Sunday,B,Single carriageway,30.0,Roundabout,B,Daylight,Raining no high winds,Wet or damp,Urban,10,10am-12pm,Office hours,Yes,Yes,No,0.0,0.6931471805599453,E01002909,216.9,92.6,2696.6,61707.0,1145.2,15037.6,4360.0,A40,PA"
"201301BS70074,-0.166604,51.487456,Slight,1,1,2013-02-16,Saturday,Unclassified,Single carriageway,30.0,Not at junction or within 20 meters,Not at junction or within 20 meters,Daylight,Fine no high winds,Dry,Urban,14,2pm-4pm,Office hours,Yes,No,Yes,0.0,0.0,E01002899,181.9,658.2,698.0,8646.0,18.6,1717.8,63.2,A3031,PA"
