"grid_square,population_per_hectare,bicycle_aadf,motor_vehicle_aadf,safe"
"""51.4895,0.132"",37.6,64.4,7215.8,1"
"""51.54,-0.4085"",18.5,169.0,111804.4,1"
"""51.602,0.1525"",50.9,100.0,20106.6,1"
"""51.262,0.286"",2.0,35.8,18698.4,1"
"""51.623,-0.4255"",25.4,8.8,630.8,1"
"""51.717,-0.0025"",48.3,4.0,451.00000000000006,1"
"""51.3165,-0.5195"",10.6,40.4,524.4,1"
"""51.269,-0.3285"",4.0,503.4,35287.0,1"
"""51.5465,-0.3175"",18.4,128.8,20072.8,1"
"""51.4925,-0.1785"",74.1,15.4,677.5999999999998,1"
"""51.4885,-0.467"",8.3,73.6,13674.8,1"
"""51.6475,0.206"",4.4,6.8,8725.400000000001,1"
"""51.31,-0.513"",10.6,20.8,1603.8,1"
"""51.6725,0.163"",2.7,0.0,132333.80000000002,1"
"""51.5105,-0.2265"",21.1,666.0,15157.399999999998,1"
"""51.4395,0.075"",58.3,42.4,8481.000000000002,1"
"""51.3795,0.068"",27.9,65.0,17750.399999999998,1"
"""51.5345,-0.1465"",88.3,2074.2,17807.000000000004,1"
"""51.6705,0.1465"",5.5,11.0,1630.8000000000006,1"
"""51.3405,0.2175"",2.0,20.8,1177.6,1"
"""51.353,0.147"",2.0,0.0,40156.6,1"
"""51.297,-0.24"",11.2,46.0,16543.6,1"
"""51.639,-0.43"",25.4,50.8,11262.999999999998,1"
"""51.4135,-0.117"",49.9,118.4,10680.2,1"
"""51.4045,-0.1935"",44.4,207.4,19339.000000000004,1"
"""51.4825,0.078"",91.8,7.4,342.00000000000006,1"
"""51.719,-0.0405"",56.6,16.0,5608.0,1"
"""51.6905,-0.217"",10.1,0.0,49495.99999999999,1"
"""51.3475,0.1895"",2.0,16.4,5928.4,1"
"""51.3795,0.044"",21.8,38.4,18196.0,1"
"""51.6965,0.075"",66.2,0.0,122721.6,1"
"""51.3305,-0.218"",11.2,48.2,15908.2,1"
"""51.2775,0.2565"",2.0,6.2,16295.399999999998,1"
"""51.4595,-0.2825"",31.6,211.4,8405.2,1"
"""51.4625,0.106"",58.0,170.4,15036.8,1"
"""51.4035,-0.371"",37.6,15.0,469.8,1"
"""51.5655,-0.4235"",41.1,108.8,14850.2,1"
"""51.543,-0.135"",198.8,1545.2,23679.4,1"
"""51.619,0.2065"",16.0,15.6,10551.0,1"
"""51.556,-0.4505"",25.4,26.2,85795.19999999997,1"
"""51.628,-0.5315"",3.6,0.0,149683.4,1"
"""51.3645,-0.0875"",80.6,82.0,19555.000000000004,1"
"""51.6115,-0.467"",8.2,38.0,21491.4,1"
"""51.277,-0.292"",4.0,41.6,23494.8,1"
"""51.626,0.176"",2.7,10.0,1311.75,1"
"""51.6455,0.1585"",2.7,25.2,9302.4,1"
"""51.4285,-0.04"",122.7,335.2,29707.80000000001,1"
"""51.451,-0.226"",99.6,764.6,29127.8,1"
"""51.2575,0.1845"",2.0,51.2,12667.4,1"
"""51.6065,-0.1885"",68.1,12.6,1784.0,1"
"""51.2685,0.0815"",1.6,27.4,11868.8,1"
"""51.2915,-0.445"",4.0,2.6,86170.79999999999,1"
"""51.3105,-0.409"",4.0,154.0,17548.8,1"
"""51.535,0.0295"",209.7,107.5,3358.25,1"
"""51.574,0.1425"",72.8,128.8,25283.2,1"
"""51.4675,-0.411"",11.6,91.0,41630.6,1"
"""51.273,0.1975"",2.0,104.2,16280.6,1"
"""51.515,0.2435"",5.6,6.2,652.6,1"
"""51.371,0.23"",51.8,9.4,15608.0,1"
"""51.499,0.1475"",12.9,23.2,19049.6,1"
"""51.5175,-0.4355"",87.9,35.8,1277.4,1"
"""51.463,-0.309"",33.4,72.2,40937.60000000001,1"
"""51.5955,-0.0705"",112.3,233.0,15161.000000000002,1"
"""51.259,-0.0055"",34.8,14.6,16635.4,1"
"""51.6315,-0.485"",3.6,71.8,18906.0,1"
"""51.547,-0.195"",80.0,183.2,8797.199999999999,1"
"""51.558,-0.0795"",171.5,460.4,12731.600000000002,1"
"""51.6215,-0.0905"",93.7,84.6,19072.8,1"
"""51.45,-0.3535"",70.6,50.0,1829.2,1"
"""51.5435,-0.5395"",30.6,44.4,2148.6,1"
"""51.321,-0.5295"",10.6,40.4,524.4,1"
"""51.333,0.189"",2.0,16.4,5928.4,1"
"""51.4225,-0.134"",91.6,24.4,506.4,1"
"""51.2975,-0.3155"",4.0,19.2,24953.80000000001,1"
"""51.6355,-0.018"",55.6,92.6,18524.8,1"
"""51.28,-0.2555"",11.2,0.0,151126.2,1"
"""51.5675,-0.263"",56.2,264.4,42484.0,1"
"""51.387,0.0715"",44.2,65.0,17750.399999999998,1"
"""51.4715,-0.0275"",92.6,13.2,513.4,1"
"""51.603,-0.146"",104.2,124.2,14929.4,1"
"""51.3285,0.1345"",2.0,0.0,40156.6,1"
"""51.4335,-0.3495"",63.3,358.8,14052.4,1"
"""51.632,-0.2925"",4.9,63.0,33701.399999999994,1"
"""51.509,-0.102"",60.4,5576.4,26653.2,1"
"""51.433,0.1895"",51.8,36.8,18091.0,1"
"""51.516,0.224"",5.6,32.8,14903.4,1"
"""51.689,-0.177"",3.5,60.2,17054.4,1"
"""51.6915,-0.035"",64.3,20.4,23219.4,1"
"""51.4615,-0.5215"",1.2,0.0,198459.2,1"
"""51.572,-0.0175"",149.5,1738.4,17471.799999999996,1"
"""51.566,0.2185"",41.5,16.4,924.8,1"
"""51.6185,0.107"",59.8,4.2,9198.6,1"
"""51.3015,0.023"",34.8,40.2,16860.199999999993,1"
"""51.557,0.21"",64.1,16.4,924.8,1"
"""51.542,0.2345"",17.6,15.6,634.8000000000002,1"
"""51.3355,-0.25"",11.2,94.4,21600.6,1"
"""51.5255,-0.5215"",30.6,54.8,4572.0,1"
"""51.5295,-0.206"",310.6,344.6,5826.200000000003,1"
"""51.288,0.128"",2.0,0.0,130464.6,1"
"""51.6865,-0.277"",7.6,1.4,371.20000000000016,1"
"""51.541,-0.2"",173.2,348.4,7144.4,1"
"""51.7,-0.217"",10.1,0.0,49495.99999999999,1"
"""51.27,0.193"",2.0,104.2,16280.6,1"
"""51.4895,0.155"",12.9,24.8,9866.8,1"
"""51.524,0.087"",10.1,187.2,109659.0,1"
"""51.643,0.1275"",64.2,28.0,15960.4,1"
"""51.531,0.191"",15.8,59.2,24566.200000000004,1"
"""51.634,-0.249"",5.1,37.4,14076.2,1"
"""51.6645,-0.289"",56.7,3.4,290.6,1"
"""51.5165,-0.2435"",109.8,92.6,84946.40000000001,1"
"""51.2645,0.1145"",1.6,38.0,15100.6,1"
"""51.56,-0.128"",138.4,1718.8,28462.0,1"
"""51.621,-0.2425"",40.1,37.4,14076.2,1"
"""51.363,0.146"",2.0,0.0,113675.4,1"
"""51.368,0.0985"",33.5,90.8,16739.0,1"
"""51.635,0.2115"",16.0,15.6,10551.0,1"
"""51.3155,-0.3415"",4.0,67.6,12615.4,1"
"""51.582,-0.0105"",95.7,353.6,13143.4,1"
"""51.6355,-0.18"",32.2,247.4,27987.0,1"
"""51.6125,-0.435"",19.8,35.6,9059.0,1"
"""51.267,-0.141"",6.5,0.0,31967.8,1"
"""51.371,-0.512"",10.6,96.0,7678.4,1"
"""51.4645,-0.473"",1.2,45.4,28870.2,1"
"""51.4795,-0.041"",100.7,262.4,10760.6,1"
"""51.693,-0.0655"",1.3,8.0,15263.6,1"
"""51.3585,0.1615"",2.0,0.0,113675.4,1"
"""51.708,-0.5075"",3.6,41.0,9727.8,1"
"""51.4115,-0.283"",90.4,119.8,14342.2,1"
"""51.601,-0.5025"",3.6,16.4,12239.000000000002,1"
"""51.2595,-0.242"",11.2,144.6,13997.4,1"
"""51.529,-0.348"",70.8,98.4,125721.8,1"
"""51.362,-0.2295"",53.3,221.2,18675.000000000004,1"
"""51.359,-0.0065"",54.7,19.4,24415.2,1"
"""51.4215,-0.059"",37.5,340.8,17934.399999999998,1"
"""51.3925,0.086"",31.5,7.0,601.8,1"
"""51.479,-0.27"",43.2,581.4,36875.4,1"
"""51.5915,0.022"",52.5,6.8,147451.0,1"
"""51.647,-0.505"",3.6,0.0,162936.0,1"
"""51.6665,0.017"",43.3,2.4,15566.4,1"
"""51.522,0.002"",27.9,121.4,16575.2,1"
"""51.539,-0.492"",30.6,90.8,13348.0,1"
"""51.3575,-0.016"",89.5,19.4,24415.2,1"
"""51.3165,0.041"",6.3,30.0,5111.6,1"
"""51.7175,-0.4365"",25.4,40.8,14332.6,1"
"""51.719,0.215"",4.4,8.8,17483.8,1"
"""51.2995,0.0035"",34.8,0.0,130464.6,1"
"""51.6385,0.24"",4.4,0.0,134308.0,1"
"""51.7155,-0.2865"",7.6,32.8,12560.6,1"
"""51.5635,0.0505"",62.8,140.0,9509.599999999997,1"
"""51.363,-0.5035"",10.6,96.0,7678.4,1"
"""51.554,-0.4205"",6.4,169.0,111804.4,1"
"""51.519,-0.2815"",60.8,91.8,28332.0,1"
"""51.3025,-0.056"",34.6,13.4,3168.800000000001,1"
"""51.373,0.2475"",34.4,24.0,1275.1999999999996,1"
"""51.6625,-0.122"",8.4,58.8,17188.399999999998,1"
"""51.3895,-0.5145"",10.6,114.2,18391.4,1"
"""51.39,-0.4645"",10.6,0.0,60476.00000000001,1"
"""51.4685,0.092"",68.4,154.0,19839.4,1"
"""51.4865,-0.2075"",207.3,1597.2,13572.8,1"
"""51.375,-0.37"",3.8,115.0,12074.0,1"
"""51.3285,-0.4565"",70.5,85.8,27316.4,1"
"""51.285,0.013"",34.8,0.0,130464.6,1"
"""51.4265,-0.3105"",46.7,181.4,13868.6,1"
"""51.6345,-0.184"",13.6,247.4,27987.0,1"
"""51.3165,-0.4455"",70.5,2.6,86170.79999999999,1"
"""51.3955,-0.273"",70.5,118.2,2017.8,1"
"""51.3125,-0.272"",32.1,85.2,16208.4,1"
"""51.7095,-0.025"",64.3,16.0,5608.0,1"
"""51.483,0.287"",1.6,63.4,16725.8,1"
"""51.2685,0.116"",1.6,38.0,15100.6,1"
"""51.33,0.0005"",30.9,41.0,15734.0,1"
"""51.6495,-0.1065"",18.2,84.8,15573.999999999998,1"
"""51.4955,0.127"",86.7,64.4,7215.8,1"
"""51.42,-0.243"",23.8,745.2,12655.2,1"
"""51.649,-0.26"",7.6,21.0,15400.2,1"
"""51.3675,0.1055"",34.0,32.4,17230.399999999998,1"
"""51.3525,-0.251"",57.4,235.0,39852.6,1"
"""51.5195,-0.464"",89.4,45.4,14683.6,1"
"""51.2875,-0.241"",11.2,144.6,13997.4,1"
"""51.434,0.2025"",34.4,79.4,9457.999999999998,1"
"""51.694,-0.0705"",1.3,8.0,15263.6,1"
"""51.3055,0.043"",1.6,30.0,5111.6,1"
"""51.6805,-0.22"",18.8,0.0,49495.99999999999,1"
"""51.507,0.109"",73.9,32.6,14846.6,1"
"""51.523,-0.4025"",90.0,100.4,53037.6,1"
"""51.719,0.172"",2.7,5.2,13938.600000000002,1"
"""51.678,-0.4785"",3.6,0.0,176717.0,1"
"""51.5015,-0.112"",59.6,4274.4,17551.0,1"
"""51.657,-0.1255"",50.5,58.8,17188.399999999998,1"
"""51.3815,-0.5015"",10.6,7.4,29884.80000000001,1"
"""51.552,0.1965"",79.7,20.2,8680.2,1"
"""51.5335,-0.2775"",49.6,27.6,97132.2,1"
"""51.261,-0.03"",34.8,12.2,20924.6,1"
"""51.355,-0.2575"",57.4,235.0,39852.6,1"
"""51.712,-0.4815"",3.6,0.0,43556.0,1"
"""51.3145,0.2035"",2.0,16.4,5928.4,1"
"""51.3215,0.271"",2.0,24.2,8521.2,1"
"""51.6045,-0.1875"",68.1,12.6,1784.0,1"
"""51.2575,-0.051"",25.3,5.6,27429.4,1"
"""51.3505,-0.4525"",70.5,110.4,14728.6,1"
"""51.695,-0.2885"",7.6,32.8,12560.6,1"
"""51.6955,-0.318"",6.9,157.0,15856.0,1"
"""51.483,-0.2295"",33.8,969.8,22460.2,1"
"""51.2995,-0.0095"",34.8,0.0,130464.6,1"
"""51.2875,0.2875"",2.0,35.8,18698.4,1"
"""51.5825,-0.164"",52.5,90.2,31374.8,1"
"""51.5365,0.0215"",159.1,212.4,14170.4,1"
"""51.362,-0.0985"",89.2,164.4,18101.6,1"
"""51.6395,-0.4835"",3.6,10.8,818.1999999999997,1"
"""51.524,-0.104"",74.7,4863.6,15551.000000000002,1"
"""51.7145,0.2815"",4.4,3.0,12107.0,1"
"""51.4335,-0.2665"",27.9,51.4,60645.8,1"
"""51.6645,0.215"",4.4,6.8,8725.400000000001,1"
"""51.708,-0.134"",1.3,19.0,12548.999999999998,1"
"""51.6265,0.13"",4.0,67.8,29192.8,1"
"""51.7165,0.2675"",4.4,34.8,15552.0,1"
"""51.364,0.249"",34.4,0.0,57099.60000000001,1"
"""51.658,-0.228"",5.1,36.2,11001.8,1"
"""51.5405,0.005"",88.9,655.0,17723.8,1"
"""51.599,-0.092"",135.0,1403.2,23030.6,1"
"""51.308,0.2365"",2.0,0.0,48621.4,1"
"""51.68,-0.1465"",3.5,19.0,12548.999999999998,1"
"""51.5305,-0.2475"",13.5,91.8,9895.2,1"
"""51.592,-0.3765"",37.4,34.4,9789.2,1"
"""51.703,-0.225"",10.1,0.0,137003.40000000002,1"
"""51.7125,-0.295"",7.6,32.8,12560.6,1"
"""51.4635,-0.2765"",97.4,770.8,22456.0,1"
"""51.518,-0.2125"",133.4,2.6,86375.8,1"
"""51.35,-0.1645"",3.7,1.0,102.8,1"
"""51.3285,-0.3285"",4.0,19.8,19915.6,1"
"""51.593,-0.1705"",96.5,470.4,21745.4,1"
"""51.427,-0.364"",35.0,40.8,14808.2,1"
"""51.4655,0.2445"",11.8,0.0,128692.0,1"
"""51.371,0.054"",15.4,44.8,22689.4,1"
"""51.3915,-0.017"",20.4,63.2,11532.2,1"
"""51.7115,-0.1695"",3.5,51.0,14066.6,1"
"""51.388,0.228"",34.4,9.4,15608.0,1"
"""51.5855,0.121"",57.7,88.0,19204.800000000007,1"
"""51.482,0.1185"",17.6,43.0,5639.799999999997,1"
"""51.488,-0.048"",141.6,15.8,446.4,1"
"""51.5755,-0.093"",99.7,1318.0,36134.4,1"
"""51.6,0.1725"",71.4,10.0,1311.75,1"
"""51.315,-0.279"",32.1,85.2,16208.4,1"
"""51.3115,-0.1085"",6.9,15.2,2286.4,1"
"""51.2825,-0.2925"",4.0,41.6,23494.8,1"
"""51.4405,-0.2565"",27.9,493.6,91415.4,1"
"""51.708,0.225"",4.4,8.8,17483.8,1"
"""51.287,0.0355"",1.6,23.6,3085.8,1"
"""51.4785,0.279"",1.6,17.2,4301.6,1"
"""51.695,0.0295"",100.8,21.0,19809.4,1"
"""51.6515,-0.46"",19.8,45.0,21393.8,1"
"""51.6485,-0.0245"",8.4,81.8,19541.6,1"
"""51.4165,-0.2595"",11.2,96.75,6904.25,1"
"""51.5755,-0.366"",46.6,87.8,18293.2,1"
"""51.375,0.264"",34.4,0.0,57099.60000000001,1"
"""51.6185,0.0235"",23.2,265.0,21316.4,1"
"""51.664,-0.344"",7.7,0.0,92746.8,1"
"""51.6675,-0.111"",17.1,84.8,15573.999999999998,1"
"""51.2635,-0.2105"",11.2,43.4,36425.99999999999,1"
"""51.35,-0.418"",16.3,2.6,77061.20000000001,1"
"""51.273,0.2375"",2.0,6.2,16295.399999999998,1"
"""51.4915,-0.44"",27.3,84.8,16261.999999999998,1"
"""51.2685,-0.195"",10.9,43.4,36425.99999999999,1"
"""51.5245,-0.5365"",30.6,54.8,4572.0,1"
"""51.671,-0.246"",5.1,25.2,61870.40000000001,1"
"""51.3305,0.033"",1.9,41.0,15734.0,1"
"""51.352,0.149"",2.0,0.0,40156.6,1"
"""51.4625,-0.479"",1.2,45.4,28870.2,1"
"""51.5225,-0.066"",100.0,1431.2,18089.4,1"
"""51.4305,-0.123"",108.8,144.2,2595.6,1"
"""51.4375,0.109"",30.7,77.2,14135.0,1"
"""51.4645,-0.098"",75.7,864.4,6767.199999999999,1"
"""51.5355,0.1075"",77.3,71.4,95543.4,1"
"""51.503,-0.2835"",46.4,484.0,39880.2,1"
"""51.306,-0.177"",62.4,51.6,3985.4,1"
"""51.354,0.203"",2.0,28.8,808.4,1"
"""51.44,-0.526"",1.2,118.8,9338.6,1"
"""51.369,-0.383"",16.3,172.5,22948.0,1"
"""51.276,-0.2115"",11.2,43.4,36425.99999999999,1"
"""51.485,0.165"",38.5,24.8,9866.8,1"
"""51.4865,-0.348"",47.7,222.6,45217.2,1"
"""51.6575,0.03"",32.0,117.2,14535.6,1"
"""51.596,-0.4145"",21.7,64.6,27984.8,1"
"""51.304,-0.1875"",62.4,51.6,3985.4,1"
"""51.3375,0.165"",2.0,116.8,12258.2,1"
"""51.302,-0.023"",30.9,13.4,3168.800000000001,1"
"""51.7165,-0.0455"",56.6,46.0,42342.4,1"
"""51.6225,-0.174"",63.2,421.4,22966.4,1"
"""51.506,0.047"",28.8,100.4,22602.0,1"
"""51.6915,0.191"",2.7,47.4,1302.4,1"
"""51.299,0.287"",2.0,35.8,18698.4,1"
"""51.4515,-0.141"",183.2,2233.2,17652.4,1"
"""51.66,-0.473"",3.6,53.4,17907.6,1"
"""51.601,-0.2825"",105.3,89.6,12672.799999999996,1"
"""51.3195,-0.0255"",76.8,13.4,3168.800000000001,1"
"""51.43,0.037"",101.5,124.0,28558.6,1"
"""51.2675,0.219"",2.0,23.2,10990.200000000004,1"
"""51.444,0.067"",22.7,42.4,8481.000000000002,1"
"""51.382,-0.152"",48.5,336.2,21662.0,1"
"""51.586,-0.317"",45.8,96.0,26246.80000000001,1"
"""51.3935,0.0335"",23.1,92.6,25867.0,1"
"""51.5585,-0.466"",5.7,31.0,100934.6,1"
"""51.3995,-0.4585"",10.6,200.8,11585.600000000002,1"
"""51.376,0.284"",34.4,0.0,57099.60000000001,1"
"""51.5385,0.1415"",75.9,117.2,21271.4,1"
"""51.332,0.177"",2.0,16.4,5928.4,1"
"""51.3665,-0.4015"",16.3,160.2,12869.2,1"
"""51.515,0.0795"",7.3,14.4,37786.0,1"
"""51.6425,-0.4735"",3.6,72.0,24146.4,1"
"""51.6725,0.2745"",4.4,26.4,1470.6,1"
"""51.642,-0.282"",4.9,21.0,15400.2,1"
"""51.6235,0.1895"",2.7,10.0,1311.75,1"
"""51.2805,-0.136"",6.5,0.0,31967.8,1"
"""51.678,-0.379"",17.6,81.2,29972.000000000015,1"
"""51.5335,-0.223"",180.9,409.8,15917.0,1"
"""51.389,-0.504"",10.6,123.8,12375.8,1"
"""51.3465,-0.5265"",10.6,95.8,11165.0,1"
"""51.583,0.058"",38.1,121.6,32508.80000000001,1"
"""51.5135,0.082"",7.3,14.4,37786.0,1"
"""51.6555,-0.5345"",3.6,38.8,1636.4,1"
"""51.554,-0.498"",31.7,21.2,24351.2,1"
"""51.2995,-0.442"",4.0,2.6,86170.79999999999,1"
"""51.612,0.2625"",4.1,0.0,124284.6,1"
"""51.355,-0.257"",57.4,235.0,39852.6,1"
"""51.2715,-0.3375"",4.0,16.6,18119.2,1"
"""51.465,0.1015"",54.9,170.4,15036.8,1"
"""51.574,0.019"",94.7,124.2,12097.2,1"
"""51.561,-0.308"",76.8,18.4,1505.4,1"
"""51.474,-0.194"",162.4,2191.8,41410.8,1"
"""51.374,-0.176"",80.5,99.0,15990.8,1"
"""51.4425,0.2065"",20.6,60.0,13756.4,1"
"""51.7025,0.2395"",4.4,34.8,15552.0,1"
"""51.521,-0.131"",86.7,2274.6,13880.6,1"
"""51.355,-0.5115"",10.6,96.0,7678.4,1"
"""51.285,-0.521"",10.6,2.6,94568.8,1"
"""51.454,-0.1145"",169.5,233.0,3224.200000000001,1"
"""51.621,-0.3565"",21.9,16.2,16715.6,1"
"""51.714,0.14"",64.2,0.0,108809.8,1"
"""51.501,0.2445"",1.5,0.0,78106.40000000001,1"
"""51.2665,0.1035"",1.6,38.0,15100.6,1"
"""51.421,-0.3105"",35.2,362.2,16092.6,1"
"""51.311,0.1565"",2.0,116.8,12258.2,1"
"""51.693,-0.2485"",5.1,0.0,137003.40000000002,1"
"""51.62,0.0265"",29.4,265.0,21316.4,1"
"""51.4375,0.26"",20.6,86.4,21932.0,1"
"""51.3265,0.2415"",2.0,20.8,1177.6,1"
"""51.389,-0.5205"",10.6,0.0,177327.8,1"
"""51.4845,0.1705"",36.4,24.8,9866.8,1"
"""51.6585,0.244"",4.4,8.0,6875.600000000001,1"
"""51.263,-0.477"",4.0,31.8,12533.2,1"
"""51.548,-0.4675"",25.8,80.2,26882.0,1"
"""51.292,-0.3345"",4.0,139.6,2992.2,1"
"""51.6965,-0.4715"",3.6,0.0,43556.0,1"
"""51.555,-0.5095"",30.6,21.2,24351.2,1"
"""51.5725,-0.288"",22.9,129.6,14255.4,1"
"""51.427,-0.288"",62.5,190.8,1106.7999999999997,1"
"""51.3465,-0.0515"",63.8,75.4,19893.4,1"
"""51.6845,-0.2615"",7.6,15.8,3529.4,1"
"""51.336,-0.22"",11.2,48.2,15908.2,1"
"""51.3115,0.29"",2.0,0.0,4465.0,1"
"""51.4515,-0.2635"",3.9,168.6,11790.799999999996,1"
"""51.395,-0.0225"",20.8,63.2,11532.2,1"
"""51.2675,-0.1045"",14.5,0.0,141002.4,1"
"""51.706,-0.2795"",7.6,32.8,12560.6,1"
"""51.6455,-0.085"",26.5,65.0,12310.6,1"
"""51.5895,-0.3875"",40.5,3.8,1328.6,1"
"""51.3135,-0.367"",4.0,0.0,151384.6,1"
"""51.7135,0.1345"",64.2,0.0,108809.8,1"
"""51.2815,0.187"",2.0,14.6,1170.0000000000002,1"
"""51.2875,-0.0065"",34.8,0.0,130464.6,1"
"""51.531,-0.4275"",24.3,16.4,1993.0,1"
"""51.579,-0.541"",3.6,45.0,11475.0,1"
"""51.5835,-0.403"",39.6,16.8,2549.4,1"
"""51.558,0.1855"",45.4,14.2,276.6,1"
"""51.378,-0.4445"",70.5,361.4,16180.8,1"
"""51.567,0.232"",31.6,12.0,4628.0,1"
"""51.5135,-0.2915"",58.2,1374.6,14332.999999999998,1"
"""51.267,0.2295"",2.0,6.2,16295.399999999998,1"
"""51.4375,-0.227"",17.6,786.4,21763.4,1"
"""51.4195,0.0435"",16.1,72.0,10426.2,1"
"""51.281,0.0405"",1.6,23.6,3085.8,1"
"""51.536,-0.368"",61.3,43.0,5064.2,1"
"""51.622,-0.187"",49.4,32.6,2237.8,1"
"""51.71,-0.3615"",7.7,0.0,127090.6,1"
"""51.284,0.29"",2.0,35.8,18698.4,1"
"""51.3275,-0.518"",10.6,20.8,1603.8,1"
"""51.5835,0.1075"",2.9,88.0,19204.800000000007,1"
"""51.37,-0.426"",70.5,133.4,17644.399999999998,1"
"""51.451,-0.3965"",53.1,28.4,1132.8,1"
"""51.331,-0.405"",4.0,154.0,17548.8,1"
"""51.6035,0.2525"",4.1,0.0,124284.6,1"
"""51.531,0.241"",17.6,15.6,634.8000000000002,1"
"""51.3055,-0.3875"",4.0,106.2,305.8,1"
"""51.394,-0.1835"",72.3,107.8,12592.0,1"
"""51.3935,0.039"",23.1,92.6,25867.0,1"
"""51.4325,0.132"",7.8,0.0,21544.4,1"
"""51.4015,0.0985"",37.4,7.0,601.8,1"
"""51.5035,-0.0315"",110.1,1073.8,15808.0,1"
"""51.4605,0.0075"",67.5,164.8,14357.0,1"
"""51.432,0.067"",37.5,34.4,36920.599999999984,1"
"""51.6455,-0.148"",14.2,47.0,16045.4,1"
"""51.6195,-0.316"",36.5,40.0,23447.4,1"
"""51.616,-0.2045"",10.2,42.4,8540.2,1"
"""51.6455,0.256"",4.4,26.4,1470.6,1"
"""51.542,-0.434"",10.8,16.4,1993.0,1"
"""51.689,-0.1445"",3.5,19.0,12548.999999999998,1"
"""51.349,-0.536"",10.6,62.8,24744.0,1"
"""51.4165,-0.355"",3.8,281.8,15647.2,1"
"""51.613,0.1795"",2.7,10.0,1311.75,1"
"""51.535,0.23"",5.6,15.6,634.8000000000002,1"
"""51.618,-0.513"",3.6,16.4,12239.000000000002,1"
"""51.341,0.073"",1.7,128.8,24381.2,1"
"""51.5705,-0.2265"",33.0,21.5,29977.0,1"
"""51.6985,-0.457"",19.8,41.0,14475.4,1"
"""51.289,-0.087"",14.5,1.2,213.2,1"
"""51.5765,0.178"",58.7,62.0,34769.0,1"
"""51.404,-0.304"",66.7,235.2,15676.2,1"
"""51.6925,-0.3905"",17.6,94.8,13945.6,1"
"""51.715,-0.3455"",7.7,65.4,11964.6,1"
"""51.276,-0.3995"",4.0,41.2,10791.0,1"
"""51.7115,-0.0975"",1.3,2.6,491.8,1"
"""51.396,-0.3205"",66.8,656.2,14670.2,1"
